ip,classification,Harmless,Malicious,Suspicious,ASN
65.49.1.102,malicious,58,10,0,6939
65.49.1.103,malicious,55,12,1,6939
65.49.1.104,malicious,55,13,1,6939
65.49.1.105,malicious,55,14,1,6939
65.49.1.106,malicious,56,12,0,6939
65.49.1.107,malicious,56,13,0,6939
65.49.1.108,malicious,56,13,1,6939
65.49.1.109,malicious,56,13,0,6939
65.49.1.11,malicious,54,14,1,6939
65.49.1.110,malicious,54,15,1,6939
65.49.1.111,malicious,55,15,0,6939
65.49.1.112,malicious,55,14,1,6939
65.49.1.113,malicious,54,14,1,6939
65.49.1.116,malicious,55,14,0,6939
65.49.1.117,malicious,57,11,0,6939
65.49.1.118,malicious,53,15,1,6939
65.49.1.119,malicious,56,13,0,6939
65.49.1.12,malicious,53,16,1,6939
65.49.1.120,malicious,56,13,1,6939
65.49.1.121,malicious,57,11,0,6939
65.49.1.13,malicious,50,17,1,6939
65.49.1.14,malicious,54,15,1,6939
65.49.1.15,malicious,52,16,0,6939
65.49.1.16,malicious,53,16,1,6939
65.49.1.17,malicious,54,14,1,6939
65.49.1.18,malicious,53,12,1,6939
65.49.1.19,malicious,54,15,1,6939
65.49.1.20,malicious,55,14,1,6939
65.49.1.21,malicious,52,16,1,6939
65.49.1.22,malicious,53,16,1,6939
65.49.1.23,malicious,54,16,0,6939
65.49.1.24,malicious,54,15,3,6939
65.49.1.25,malicious,54,15,1,6939
65.49.1.26,malicious,54,16,0,6939
65.49.1.27,malicious,55,15,0,6939
65.49.1.28,malicious,53,15,1,6939
65.49.1.29,malicious,54,15,1,6939
65.49.1.30,malicious,53,13,0,6939
65.49.1.31,malicious,55,15,0,6939
65.49.1.32,malicious,55,14,1,6939
65.49.1.33,malicious,54,13,1,6939
65.49.1.34,malicious,53,15,1,6939
65.49.1.35,malicious,54,14,1,6939
65.49.1.36,malicious,54,14,1,6939
65.49.1.37,malicious,55,13,1,6939
65.49.1.38,malicious,55,14,0,6939
65.49.1.39,malicious,57,11,0,6939
65.49.1.40,malicious,52,16,2,6939
65.49.1.41,malicious,54,16,0,6939
65.49.1.42,malicious,55,15,0,6939
65.49.1.43,malicious,51,16,1,6939
65.49.1.44,malicious,51,16,1,6939
65.49.1.45,malicious,55,13,0,6939
65.49.1.46,malicious,55,15,0,6939
65.49.1.47,malicious,55,13,0,6939
65.49.1.48,malicious,54,15,1,6939
65.49.1.49,malicious,56,15,0,6939
65.49.1.50,malicious,53,17,0,6939
65.49.1.51,malicious,53,16,0,6939
65.49.1.52,malicious,55,14,0,6939
65.49.1.54,malicious,55,13,1,6939
65.49.1.55,malicious,54,15,1,6939
65.49.1.56,malicious,52,16,1,6939
65.49.1.57,malicious,54,15,1,6939
65.49.1.58,malicious,55,15,1,6939
65.49.1.59,malicious,55,15,1,6939
65.49.1.60,malicious,54,15,1,6939
65.49.1.61,malicious,55,15,0,6939
65.49.1.62,malicious,55,15,0,6939
65.49.1.64,malicious,56,15,0,6939
65.49.1.65,malicious,55,15,0,6939
65.49.1.66,malicious,54,15,2,6939
65.49.1.67,malicious,55,14,0,6939
65.49.1.68,malicious,54,16,0,6939
65.49.1.69,malicious,55,14,1,6939
65.49.1.70,malicious,54,16,0,6939
65.49.1.71,malicious,55,15,0,6939
65.49.1.72,malicious,55,15,0,6939
65.49.1.73,malicious,55,15,1,6939
65.49.1.74,malicious,55,15,1,6939
65.49.1.75,malicious,56,14,0,6939
65.49.1.76,malicious,56,13,0,6939
65.49.1.77,malicious,56,12,0,6939
65.49.1.78,malicious,55,15,0,6939
65.49.1.79,malicious,55,14,0,6939
65.49.1.80,malicious,55,15,0,6939
65.49.1.81,malicious,54,15,0,6939
65.49.1.82,malicious,54,15,1,6939
65.49.1.83,malicious,53,15,2,6939
65.49.1.84,malicious,53,15,1,6939
65.49.1.85,malicious,56,13,0,6939
65.49.1.87,malicious,55,15,1,6939
65.49.1.88,malicious,56,14,0,6939
65.49.1.89,malicious,55,15,0,6939
65.49.1.90,malicious,54,15,1,6939
65.49.1.91,malicious,57,11,0,6939
65.49.1.92,malicious,56,13,1,6939
65.49.1.93,malicious,55,15,1,6939
65.49.1.94,malicious,54,14,2,6939
65.49.1.95,malicious,56,13,0,6939
65.49.1.96,malicious,55,14,1,6939
65.49.1.97,malicious,53,15,2,6939
65.49.1.99,malicious,54,15,1,6939
65.49.20.100,malicious,57,10,0,6939
65.49.20.101,malicious,58,11,0,6939
65.49.20.102,malicious,58,9,0,6939
65.49.20.103,malicious,57,12,0,6939
65.49.20.104,malicious,54,12,0,6939
65.49.20.105,malicious,59,9,0,6939
65.49.20.106,malicious,58,10,0,6939
65.49.20.107,malicious,58,10,0,6939
65.49.20.108,malicious,61,6,0,6939
65.49.20.109,malicious,59,9,0,6939
65.49.20.110,malicious,58,10,0,6939
65.49.20.111,malicious,57,12,0,6939
65.49.20.112,malicious,57,12,0,6939
65.49.20.113,malicious,62,5,1,6939
65.49.20.114,malicious,58,9,0,6939
65.49.20.116,malicious,56,13,0,6939
65.49.20.117,malicious,59,9,0,6939
65.49.20.118,malicious,58,11,0,6939
65.49.20.119,malicious,59,11,0,6939
65.49.20.120,malicious,57,11,0,6939
65.49.20.121,malicious,57,11,0,6939
65.49.20.122,malicious,58,11,0,6939
65.49.20.123,malicious,58,11,0,6939
65.49.20.125,malicious,61,6,0,6939
65.49.20.126,malicious,57,11,0,6939
65.49.20.66,malicious,54,14,1,6939
65.49.20.67,malicious,60,8,0,6939
65.49.20.68,malicious,59,9,0,6939
65.49.20.69,malicious,57,11,0,6939
65.49.20.70,malicious,59,10,0,6939
65.49.20.71,malicious,57,10,0,6939
65.49.20.72,malicious,57,11,0,6939
65.49.20.73,malicious,58,10,0,6939
